,0,1,2,3,4,5,6,7,8,9,10,11
75,7000.0,7000.0,6875.0,6925.0,6950.0,7025.0,7150.0,7000.0,7100.0,7000.0,7000.0,6825.0
76,7000.0,6875.0,6925.0,6950.0,7025.0,7150.0,7000.0,7100.0,7000.0,7000.0,6825.0,6850.0
77,6875.0,6925.0,6950.0,7025.0,7150.0,7000.0,7100.0,7000.0,7000.0,6825.0,6850.0,6775.0
78,6925.0,6950.0,7025.0,7150.0,7000.0,7100.0,7000.0,7000.0,6825.0,6850.0,6775.0,6975.0
79,6950.0,7025.0,7150.0,7000.0,7100.0,7000.0,7000.0,6825.0,6850.0,6775.0,6975.0,7050.0
80,7025.0,7150.0,7000.0,7100.0,7000.0,7000.0,6825.0,6850.0,6775.0,6975.0,7050.0,7075.0
81,7150.0,7000.0,7100.0,7000.0,7000.0,6825.0,6850.0,6775.0,6975.0,7050.0,7075.0,7100.0
82,7000.0,7100.0,7000.0,7000.0,6825.0,6850.0,6775.0,6975.0,7050.0,7075.0,7100.0,7200.0
83,7100.0,7000.0,7000.0,6825.0,6850.0,6775.0,6975.0,7050.0,7075.0,7100.0,7200.0,7200.0
84,7000.0,7000.0,6825.0,6850.0,6775.0,6975.0,7050.0,7075.0,7100.0,7200.0,7200.0,7200.0
85,7000.0,6825.0,6850.0,6775.0,6975.0,7050.0,7075.0,7100.0,7200.0,7200.0,7200.0,7350.0
86,6825.0,6850.0,6775.0,6975.0,7050.0,7075.0,7100.0,7200.0,7200.0,7200.0,7350.0,7325.0
87,6850.0,6775.0,6975.0,7050.0,7075.0,7100.0,7200.0,7200.0,7200.0,7350.0,7325.0,7400.0
88,6775.0,6975.0,7050.0,7075.0,7100.0,7200.0,7200.0,7200.0,7350.0,7325.0,7400.0,7350.0
89,6975.0,7050.0,7075.0,7100.0,7200.0,7200.0,7200.0,7350.0,7325.0,7400.0,7350.0,7350.0
90,7050.0,7075.0,7100.0,7200.0,7200.0,7200.0,7350.0,7325.0,7400.0,7350.0,7350.0,7350.0
91,7075.0,7100.0,7200.0,7200.0,7200.0,7350.0,7325.0,7400.0,7350.0,7350.0,7350.0,7525.0
92,7100.0,7200.0,7200.0,7200.0,7350.0,7325.0,7400.0,7350.0,7350.0,7350.0,7525.0,7550.0
93,7200.0,7200.0,7200.0,7350.0,7325.0,7400.0,7350.0,7350.0,7350.0,7525.0,7550.0,7800.0
94,7200.0,7200.0,7350.0,7325.0,7400.0,7350.0,7350.0,7350.0,7525.0,7550.0,7800.0,7775.0
95,7200.0,7350.0,7325.0,7400.0,7350.0,7350.0,7350.0,7525.0,7550.0,7800.0,7775.0,7825.0
96,7350.0,7325.0,7400.0,7350.0,7350.0,7350.0,7525.0,7550.0,7800.0,7775.0,7825.0,7725.0
97,7325.0,7400.0,7350.0,7350.0,7350.0,7525.0,7550.0,7800.0,7775.0,7825.0,7725.0,7675.0
98,7400.0,7350.0,7350.0,7350.0,7525.0,7550.0,7800.0,7775.0,7825.0,7725.0,7675.0,7750.0
99,7350.0,7350.0,7350.0,7525.0,7550.0,7800.0,7775.0,7825.0,7725.0,7675.0,7750.0,7650.0
